epoch,step,train_loss_epoch,train_loss_step
0,0,,2.287529706954956
0,1,,2.317899703979492
0,2,,2.3243939876556396
0,3,,2.2729320526123047
0,3,2.3084609508514404,
1,4,,1.9531645774841309
1,5,,1.90776526927948
1,6,,1.9657368659973145
1,7,,1.7927051782608032
1,7,1.936241626739502,
2,8,,1.7717680931091309
2,9,,1.7044901847839355
2,10,,1.6112804412841797
2,11,,1.645944356918335
2,11,1.693850040435791,
3,12,,1.60787832736969
3,13,,1.486915111541748
3,14,,1.4071801900863647
3,15,,1.2695133686065674
3,15,1.4914120435714722,
4,16,,1.33927583694458
4,17,,1.2905369997024536
4,18,,1.2703992128372192
4,19,,1.321617841720581
4,19,1.3009324073791504,
