epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.125,,2.2847447395324707,,
0,1,,0.03125,,2.2861125469207764,,
0,2,,0.1875,,2.2739417552948,,
0,2,,,,,0.05000000074505806,2.280350685119629
0,2,0.10000000149011612,,2.2831311225891113,,,
1,3,,0.875,,1.9160536527633667,,
1,4,,0.90625,,1.9135544300079346,,
1,5,,0.9375,,1.9170501232147217,,
1,5,,,,,0.05000000074505806,2.2851781845092773
1,5,0.8999999761581421,,1.9152532815933228,,,
2,6,,1.0,,1.6946477890014648,,
2,7,,1.0,,1.6636853218078613,,
2,8,,1.0,,1.5516401529312134,,
2,8,,,,,0.10000000149011612,2.292607307434082
2,8,1.0,,1.6536613702774048,,,
3,9,,1.0,,1.456855297088623,,
3,10,,1.0,,1.4109488725662231,,
3,11,,1.0,,1.3811322450637817,,
3,11,,,,,0.10000000149011612,2.3010318279266357
3,11,1.0,,1.423348069190979,,,
4,12,,1.0,,1.2990992069244385,,
4,13,,1.0,,1.163344144821167,,
4,14,,1.0,,1.093010663986206,,
4,14,,,,,0.05000000074505806,2.3097636699676514
4,14,1.0,,1.2035795450210571,,,
